date,infected
3/1/20,29.2
3/2/20,30.0302301
3/3/20,30.88297049
3/4/20,31.76046799
3/5/20,32.66172439
3/6/20,33.58916577
3/7/20,34.54533267
3/8/20,35.53776882
3/9/20,36.53440756
3/10/20,37.58478191
3/11/20,38.63789915
3/12/20,39.74961776
3/13/20,40.86243325
3/14/20,42.03909434
3/15/20,43.21575543
3/16/20,44.46040465
3/17/20,45.7058054
3/18/20,47.05511835
3/19/20,48.40862089
3/20/20,49.76212344
3/21/20,51.12637143
3/22/20,52.63570353
3/23/20,54.14503564
3/24/20,55.65436774
3/25/20,57.19439833
3/26/20,58.87749334
3/27/20,60.56058836
3/28/20,62.24368337
3/29/20,63.98188215
3/30/20,65.85874443
3/31/20,67.73560671
4/1/20,69.61246899
4/2/20,71.57405249
4/3/20,73.66698876
4/4/20,75.75992503
4/5/20,77.8528613
4/6/20,80.06622293
4/7/20,82.40010343
4/8/20,84.73398394
4/9/20,87.06786444
4/10/20,89.57120246
4/11/20,92.18401698
4/12/20,94.7968315
4/13/20,97.40964602
4/14/20,100.1644006
4/15/20,103.1005922
4/16/20,106.0367837
4/17/20,108.9729753
4/18/20,112.0074087
4/19/20,115.3069978
4/20/20,118.6065868
4/21/20,121.9061758
4/22/20,125.2473181
4/23/20,128.9552732
4/24/20,132.6632282
4/25/20,136.3711833
4/26/20,140.0791383
4/27/20,144.21531
4/28/20,148.3821502
4/29/20,152.5489904
4/30/20,156.7158307
5/1/20,161.2769216
5/2/20,165.9594058
5/3/20,170.64189
5/4/20,175.3243742
5/5/20,180.3521867
5/6/20,185.614089
5/7/20,190.8759913
5/8/20,196.1378936
5/9/20,201.6830353
5/10/20,207.6076351
5/11/20,213.5322349
5/12/20,219.4568347
5/13/20,225.4733856
5/14/20,232.1566902
5/15/20,238.8399948
5/16/20,245.5232994
5/17/20,252.206604
5/18/20,259.5873635
5/19/20,267.1264556
5/20/20,274.6655476
5/21/20,282.2046397
5/22/20,290.2348402
5/23/20,298.7392042
5/24/20,307.2435682
5/25/20,315.7479322
5/26/20,324.4728401
5/27/20,334.0659421
5/28/20,343.6590442
5/29/20,353.2521462
5/30/20,362.8452482
5/31/20,373.5390471
6/1/20,384.3601127
6/2/20,395.1811783
6/3/20,406.0022439
6/4/20,417.6406388
6/5/20,429.8466545
6/6/20,442.0526703
6/7/20,454.258686
6/8/20,466.9082052
6/9/20,480.6761725
6/10/20,494.4441399
6/11/20,508.2121072
6/12/20,521.9800746
6/13/20,537.4703239
6/14/20,552.9997967
6/15/20,568.5292695
6/16/20,584.0587423
6/17/20,600.7974203
6/18/20,618.1275807
6/19/20,635.4577412
6/20/20,652.9953101
6/21/20,672.1368201
6/22/20,691.2783301
6/23/20,710.4198401
6/24/20,730.676473
6/25/20,751.8182544
6/26/20,772.9600359
6/27/20,794.1028479
6/28/20,817.4534248
6/29/20,840.8040017
6/30/20,864.1545786
7/1/20,888.5866956
7/2/20,914.3762093
7/3/20,940.1657229
7/4/20,965.9552366
7/5/20,994.1318317
7/6/20,1022.614267
7/7/20,1051.096702
7/8/20,1080.558534
7/9/20,1112.014162
7/10/20,1143.469791
7/11/20,1174.92542
7/12/20,1208.916368
7/13/20,1243.654431
7/14/20,1278.392494
7/15/20,1313.910973
7/16/20,1352.272627
7/17/20,1390.634281
7/18/20,1428.995935
7/19/20,1469.990929
7/20/20,1512.352485
7/21/20,1554.71404
7/22/20,1597.52297
7/23/20,1644.299449
7/24/20,1691.075929
7/25/20,1737.852409
7/26/20,1787.281087
7/27/20,1838.930128
7/28/20,1890.579169
7/29/20,1942.22821
7/30/20,1998.690313
7/31/20,2055.214359
8/1/20,2112.008742
8/2/20,2173.336637
8/3/20,2234.664533
8/4/20,2296.644926
8/5/20,2363.182107
8/6/20,2429.719287
8/7/20,2497.353604
8/8/20,2569.539201
8/9/20,2641.724798
8/10/20,2715.522338
8/11/20,2793.831893
8/12/20,2872.141448
8/13/20,2952.656427
8/14/20,3037.604815
8/15/20,3122.553203
8/16/20,3210.388566
8/17/20,3302.533128
8/18/20,3394.67769
